,FCR,Self-Sufficiency,Region,Company,PV Size,Battery Capacity,Max Power,Energy Efficiency,Total PV production during period,Total electricity cost base case,Total electricity cost with PV,Total electricity cost with PV and battery,Electricity cost/kWh base case,Electricity cost/kWh with PV,Electricity cost/kWh with PV and battery,€ % drop/kWh,Savings from PV during period,Savings from battery during period,Savings from (PV and) battery during period,Savings from reduced power contract fee,Payback Time PV,Payback Time battery,Payback Time (PV and) battery,Total demand (kWh),Self-sufficiency (SSR only PV %),Self-sufficiency (SSR %),Self-consumption (%),Number of Cycles in period,Time below 20% SoC (%),Time above 80% SoC (%),€ saved per passed kWh,PV investment (EUR),CO2 avoided of the grid electricy mix [CO2eq],Battery investment (EUR),Total Investment (EUR),Battery Capacity Price (EUR/kWh),Battery Power Price (EUR/kWh),PV Price (EUR/kW),Total FCR revenue (EUR),FCR% of saving,peak% of saving,start_time,end_time,demand_data_used:,length of simulation,%time_SoC_20%-80%,config_id,year_offset,ss_cost_import,ss_cost_export,enable_all
0,On,Import 0.0 and export 0.0,SE3,039. Godestadsvagen,1,0,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2416.0469985200007,0.0418100245769952,0.037569508143457886,0.03756950814345736,10.142343795394634,272.7021861000002,6.079999999866061,278.78218609986635,6.07999999983241,0.0,0.0,0.0,64308.72049999807,10.632711157734857,10.632711157734857,49.828389185154236,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,99.99999999944653,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yo0_ic0_0_ec0_0_eaTrue,0,0.0,0.0,True
1,On,Import 0.0 and export 0.0,SE3,039. Godestadsvagen,1,150,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,1839.283088760287,0.0418100245769952,0.037569508143457886,0.028600834761754314,31.593355777429696,272.7021861000002,8443.292399229362,8715.994585329361,453.8340943998324,0.0,7.125701766189595,6.902755958902462,64308.72049999807,10.632711157734857,10.663828799859305,49.97421671298784,60.922576631999995,11.896630236794172,13.012295081967212,0.9231963882718034,0,0.4577598028125009,60000,60000,400,0,0,7412.694395069781,87.79388471428935,5.375084421347943,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,75.09107468123861,yo0_ic0_0_ec0_0_eaTrue,0,0.0,0.0,True
2,Off,Import 0.0 and export 0.0,SE3,039. Godestadsvagen,1,0,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2416.0469985200007,0.0418100245769952,0.037569508143457886,0.03756950814345736,10.142343795394634,272.7021861000002,6.079999999866061,278.78218609986635,6.07999999983241,0.0,0.0,0.0,64308.72049999807,10.632711157734857,10.632711157734857,49.828389185154236,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,99.99999999944653,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yo0_ic0_0_ec0_0_eaFalse,0,0.0,0.0,False
3,Off,Import 0.0 and export 0.0,SE3,039. Godestadsvagen,1,150,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,1269.6911720422802,0.0418100245769952,0.037569508143457886,0.019743685804514154,52.777626886692715,272.7021861000002,1476.0229472775866,1748.7251333775869,329.6671207998324,0.0,40.761143769893636,34.40471141707613,64308.72049999807,10.632711157734857,11.055336891114218,51.80895267550811,199.46638447682,30.28233151183971,23.520036429872494,0.049331006275935924,0,6.217086487514994,60000,60000,400,0,0,0.0,0.0,22.33482354782347,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,46.197632058287795,yo0_ic0_0_ec0_0_eaFalse,0,0.0,0.0,False
4,On,Import 5000.0 and export 0.0,SE3,039. Godestadsvagen,1,0,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2416.0469985200007,0.0418100245769952,0.037569508143457886,0.03756950814345736,10.142343795394634,272.7021861000002,6.079999999866061,278.78218609986635,6.07999999983241,0.0,0.0,0.0,64308.72049999807,10.632711157734857,10.632711157734857,49.828389185154236,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,99.99999999944653,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yo0_ic5000_0_ec0_0_eaTrue,0,5000.0,0.0,True
5,On,Import 5000.0 and export 0.0,SE3,039. Godestadsvagen,1,150,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2243.3827897898045,0.0418100245769952,0.037569508143457886,0.03488458131879442,16.56407363608993,272.7021861000002,7398.569760067854,7671.271946167854,459.8885851998324,0.0,8.13189380011902,7.842817199525649,64308.72049999807,10.632711157734857,19.995053447862933,93.70341112419777,57.794304340533344,13.171675774134792,9.426229508196721,0.853306120603333,0,137.72585800211493,60000,60000,400,0,0,6766.016966137792,91.45033682936767,6.215911995342389,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,77.40209471766848,yo0_ic5000_0_ec0_0_eaTrue,0,5000.0,0.0,True
6,Off,Import 5000.0 and export 0.0,SE3,039. Godestadsvagen,1,0,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2416.0469985200007,0.0418100245769952,0.037569508143457886,0.03756950814345736,10.142343795394634,272.7021861000002,6.079999999866061,278.78218609986635,6.07999999983241,0.0,0.0,0.0,64308.72049999807,10.632711157734857,10.632711157734857,49.828389185154236,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,99.99999999944653,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yo0_ic5000_0_ec0_0_eaFalse,0,5000.0,0.0,False
7,Off,Import 5000.0 and export 0.0,SE3,039. Godestadsvagen,1,150,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2345.3117785979816,0.0418100245769952,0.037569508143457886,0.03646957613778138,12.773129155614646,272.7021861000002,450.9481495218851,723.6503356218855,380.2129295998324,0.0,133.41751956501594,83.14013080632402,64308.72049999807,10.632711157734857,20.898147792558145,97.93560889679027,40.21056980433334,36.99908925318761,17.17896174863388,0.07476444654829507,0,151.01093556343793,60000,60000,400,0,0,0.0,0.0,84.31411238807627,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,45.821948998178506,yo0_ic5000_0_ec0_0_eaFalse,0,5000.0,0.0,False
8,On,Import 0.0 and export 0.0,SE3,039. Godestadsvagen,1,0,25,0.7224999999999999,13.722620000000012,4171.612389021207,3739.2805057712058,3739.2805057712444,0.06509509036409175,0.05834885404513214,0.05834885404513274,10.36366380509768,432.33188325000066,6.079999999793756,438.4118832497946,6.07999999983241,0.0,0.0,0.0,64084.90049999812,10.669846479671167,10.669846479671167,49.828389185154236,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.00000000063575,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,100.0,yo1_ic0_0_ec0_0_eaTrue,1,0.0,0.0,True
9,On,Import 0.0 and export 0.0,SE3,039. Godestadsvagen,1,150,25,0.7224999999999999,13.722620000000012,4171.612389021207,3739.2805057712058,1959.595718316762,0.06509509036409175,0.05834885404513214,0.030578119073725013,53.02546028787334,432.33188325000066,6421.736197118101,6854.068080368102,374.6264031998324,0.0,9.343267639509445,8.75392530340575,64084.90049999812,10.669846479671167,11.140715587580614,52.02735701556125,138.98671091133335,20.228310502283104,17.511415525114156,0.3079450622926447,0,6.902668483735824,60000,60000,400,0,0,4267.4250064638245,66.4528232782114,5.8337245832046865,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,62.26027397260274,yo1_ic0_0_ec0_0_eaTrue,1,0.0,0.0,True
