,FCR,Self-Sufficiency,PV Size,Battery Capacity,Max Power,Energy Efficiency,Total PV production during period,Total electricity cost base case,Total electricity cost with PV,Total electricity cost with PV and battery,Electricity cost/kWh base case,Electricity cost/kWh with PV,Electricity cost/kWh with PV and battery,€ % drop/kWh,Savings from PV during period,Savings from battery during period,Savings from (PV and) battery during period,Savings from reduced power contract fee,Payback Time PV,Payback Time battery,Payback Time (PV and) battery,Total demand (kWh),Self-sufficiency (SSR only PV %),Self-sufficiency (SSR %),Self-consumption (%),Number of Cycles in period,Time below 20% SoC (%),Time above 80% SoC (%),€ saved per passed kWh,PV investment (EUR),CO2 avoided of the grid electricy mix [CO2eq],Battery investment (EUR),Total Investment (EUR),Battery Capacity Price (EUR/kWh),Battery Power Price (EUR/kWh),PV Price (EUR/kW),Total FCR revenue (EUR),FCR% of saving,peak% of saving,start_time,end_time,demand_data_used:,length of simulation,%time_SoC_20%-80%,config_id,year_offset,ss_cost_import,ss_cost_export,enable_all
0,On,Import 0.0 and export 0.0,1,0,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,575.46465625,0.03390338728807341,0.00787008160633923,0.00787008160633923,76.78673950933576,1903.5694996,466.64,2370.2094996,466.64,0.0,0.0,0.0,73120.545,59.17642572275685,59.17642572275685,58.501697044557424,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,100.0,yom1_ic0_0_ec0_0_eaTrue,-1,0.0,0.0,True
1,On,Import 0.0 and export 0.0,1,150,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,193.29417387666606,0.03390338728807341,0.00787008160633923,0.0026435001801021324,92.20284345737906,1903.5694996,8306.77493562046,10210.34443522046,911.737202,0.0,6.510612385669788,5.2968038565149715,73120.545,59.17642572275685,59.45415493802735,58.77625959567021,54.58221148666667,11.766941101963267,12.298923369221026,1.0133216086094385,0,4.645389024611454,60000,60000,400,0,0,7012.867251247126,84.42346525093751,10.975826467746948,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,75.9341355288157,yom1_ic0_0_ec0_0_eaTrue,-1,0.0,0.0,True
2,Off,Import 0.0 and export 0.0,1,0,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,575.46465625,0.03390338728807341,0.00787008160633923,0.00787008160633923,76.78673950933576,1903.5694996,466.64,2370.2094996,466.64,0.0,0.0,0.0,73120.545,59.17642572275685,59.17642572275685,58.501697044557424,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,100.0,yom1_ic0_0_ec0_0_eaFalse,-1,0.0,0.0,False
3,Off,Import 0.0 and export 0.0,1,150,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,-293.56427352182,0.03390338728807341,0.00787008160633923,-0.004014798761713551,111.84188095307482,1903.5694996,1745.44506017182,3649.0145597718197,876.4161303999999,0.0,30.984757420836903,14.821040282230001,73120.545,59.17642572275685,64.06893705516823,63.338424039471654,190.13067576764067,27.131095630145662,21.760607979734008,0.061201593873080364,0,81.8337329914515,60000,60000,400,0,0,0.0,0.0,50.211613667961934,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,51.10829639012033,yom1_ic0_0_ec0_0_eaFalse,-1,0.0,0.0,False
4,On,Import 5000.0 and export 0.0,1,0,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,575.46465625,0.03390338728807341,0.00787008160633923,0.00787008160633923,76.78673950933576,1903.5694996,466.64,2370.2094996,466.64,0.0,0.0,0.0,73120.545,59.17642572275685,59.17642572275685,58.501697044557424,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,100.0,yom1_ic5000_0_ec0_0_eaTrue,-1,5000.0,0.0,True
5,On,Import 5000.0 and export 0.0,1,150,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,480.0362152250958,0.03390338728807341,0.00787008160633923,0.006564997774908486,80.63615968774326,1903.5694996,7043.092038019629,8946.661537619628,905.7449804,0.0,7.678756927905872,6.044957837447281,73120.545,59.17642572275685,75.66554807601338,74.80281068329298,90.51077621433333,11.880937302089931,9.107029765674477,0.5187155645053703,0,275.8024139833117,60000,60000,400,0,0,6041.918616594725,85.78502998369997,12.860047483557757,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,79.01203293223558,yom1_ic5000_0_ec0_0_eaTrue,-1,5000.0,0.0,True
6,Off,Import 5000.0 and export 0.0,1,0,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,575.46465625,0.03390338728807341,0.00787008160633923,0.00787008160633923,76.78673950933576,1903.5694996,466.64,2370.2094996,466.64,0.0,0.0,0.0,73120.545,59.17642572275685,59.17642572275685,58.501697044557424,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,100.0,yom1_ic5000_0_ec0_0_eaFalse,-1,5000.0,0.0,False
7,Off,Import 5000.0 and export 0.0,1,150,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,487.17758982848744,0.03390338728807341,0.00787008160633923,0.0066626635486440565,80.34808884424402,1903.5694996,960.1078984215126,2863.6773980215125,871.820832,0.0,56.32928535400759,18.885574128631525,73120.545,59.17642572275685,77.9865814872279,77.09737970794681,81.57734678513333,31.81760607979734,12.615579480683978,0.07846196983666245,0,314.6247723863019,60000,60000,400,0,0,0.0,0.0,90.80446410589236,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,55.56681443951869,yom1_ic5000_0_ec0_0_eaFalse,-1,5000.0,0.0,False
8,On,Import 0.0 and export 0.0,1,0,25,0.7224999999999999,73.96033,3949.6098515125,984.3179655125,984.3179655125,0.05414218486272812,0.013493263197141777,0.013493263197141777,75.07809625460713,2965.291886,466.64,3431.931886,466.64,0.0,0.0,0.0,72948.845,59.310843098338296,59.310843098338296,58.4997051797903,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2025-01-01 00:00:00,2025-11-24 22:00:00,2025-01-01 00:00:00 to 2025-11-24 22:00:00,0.8986301369863013,100.0,yo0_ic0_0_ec0_0_eaTrue,0,0.0,0.0,True
9,On,Import 0.0 and export 0.0,1,150,25,0.7224999999999999,73.96033,3949.6098515125,984.3179655125,-809.6874614435633,0.05414218486272812,0.013493263197141777,-0.011099386994318597,120.50044161028953,2965.291886,6497.794855309772,9463.086741309773,853.6225288,0.0,8.29786249332238,5.697697769566824,72948.845,59.310843098338296,63.805061445702115,62.93246038272138,144.950326528,21.06466776775505,17.99009020454834,0.29877599435239377,0,74.9952386051174,60000,60000,400,0,0,3850.1668995537084,59.25343882482664,13.1371110939652,2025-01-01 00:00:00,2025-11-24 22:00:00,2025-01-01 00:00:00 to 2025-11-24 22:00:00,0.8986301369863013,60.9452420276966,yo0_ic0_0_ec0_0_eaTrue,0,0.0,0.0,True
